product_name,sales,price,reorder_quantity,stock_level,holding_cost,Production_cost,currency_fluctuation,stockout,timestamp
Water,51,15.09,53,471,3.52,2.64,-0.22,1,22/2/2024
Sauces and Soups,35,11.97,39,377,4.38,1.62,-1.29,0,22/2/2024
Instant Porridge,44,5.37,48,391,3.91,3.67,-0.54,1,22/2/2024
Biscuits,49,1.99,57,125,0.51,9.27,0.08,1,22/2/2024
Water,41,8.32,42,315,4.5,6.95,0.43,1,21/2/2024
Sauces and Soups,40,3.55,40,378,1.56,9.72,-0.95,1,21/2/2024
Instant Porridge,52,7.63,60,332,5,4.06,0.33,1,21/2/2024
Biscuits,56,2.03,62,448,2.33,4.99,-1.34,0,21/2/2024
Water,58,17.18,59,12,4.22,8.99,0.87,1,20/2/2024
Sauces and Soups,37,18.85,40,148,2.98,7.93,-1.95,1,20/2/2024
Instant Porridge,44,16.21,44,438,1.35,3.88,0.04,1,20/2/2024
Biscuits,61,11.89,69,275,3.84,3.57,-0.12,0,20/2/2024
Water,38,19.58,44,497,3.48,3.41,1.88,0,19/2/2024
Sauces and Soups,59,3.38,59,203,2.81,3.13,-1.69,1,19/2/2024
Instant Porridge,57,18.09,66,387,0.88,5.24,1.74,1,19/2/2024
Biscuits,45,5.66,46,104,4.41,2.22,-1.45,1,19/2/2024
Water,59,2.75,63,451,1.69,2.56,1.47,1,18/2/2024
Sauces and Soups,43,9.84,45,50,2.96,1.51,1.77,1,18/2/2024
Instant Porridge,51,19.26,53,158,3.89,9.46,1.77,0,18/2/2024
Biscuits,56,12.88,56,468,3.07,2.9,-0.5,1,18/2/2024
Water,42,10.83,49,167,1.93,3.64,-0.24,0,17/2/2024
Sauces and Soups,46,17.82,55,25,3.51,5.47,-1.29,0,17/2/2024
Instant Porridge,47,11.14,47,126,4.29,1.67,1.15,0,17/2/2024
Biscuits,44,3.56,49,482,2.97,4.14,1.15,1,17/2/2024
Water,55,1.97,57,99,2.76,2.17,-0.57,1,16/2/2024
Sauces and Soups,49,3.03,50,341,2.14,6.18,-0.69,1,16/2/2024
Instant Porridge,55,12.27,59,92,3.63,8.17,0.83,0,16/2/2024
Biscuits,49,4.54,54,265,3.45,3.53,-0.43,1,16/2/2024
Water,41,3.61,45,148,2.02,6.13,1.27,1,15/2/2024
Sauces and Soups,40,6.44,49,113,2.13,9.42,0.6,0,15/2/2024
Instant Porridge,41,17.42,43,465,2.3,3.24,-0.7,0,15/2/2024
Biscuits,42,3.68,49,432,1.04,5.01,1.48,1,15/2/2024
Water,44,11.68,45,309,3.83,6.49,-0.88,1,14/2/2024
Sauces and Soups,50,16.49,53,292,4.76,1.74,0.88,1,14/2/2024
Instant Porridge,63,8.98,69,441,4.83,9.44,0.82,1,14/2/2024
Biscuits,51,16.62,59,346,2.79,8.48,-1.12,1,14/2/2024
Water,62,11.05,69,211,2.12,4.03,1.53,0,13/2/2024
Sauces and Soups,54,1.69,56,444,2.77,7.54,0.09,0,13/2/2024
Instant Porridge,48,15.1,52,319,3.23,7.7,-0.41,0,13/2/2024
Biscuits,60,12.09,60,352,3.74,8.25,1.56,1,13/2/2024
Water,42,10.67,42,472,3.19,9.81,1.72,1,12/2/2024
Sauces and Soups,42,14.87,49,404,0.58,2.67,1.55,1,12/2/2024
Instant Porridge,29,3.55,36,325,3.24,5.89,-0.57,0,12/2/2024
Biscuits,44,3.22,46,490,2.09,3.58,0.69,1,12/2/2024
Water,41,2.76,47,381,3.13,6.5,0.82,1,11/2/2024
Sauces and Soups,59,15.34,62,173,3.69,7.27,1.5,0,11/2/2024
Instant Porridge,44,9.7,49,199,1.96,6.81,0.91,1,11/2/2024
Biscuits,44,18.33,50,268,4.41,1.62,-1.46,0,11/2/2024
Water,47,10.31,53,369,2.28,2.61,1.4,1,10/2/2024
Sauces and Soups,64,3.69,71,18,4.28,9.64,-1.21,1,10/2/2024
Instant Porridge,48,18.78,54,150,0.54,7.3,1.02,1,10/2/2024
Biscuits,52,19.61,57,426,4.31,6.71,-1.6,1,10/2/2024
Water,55,5.47,60,40,0.77,7.04,1.54,1,9/2/2024
Sauces and Soups,56,10.37,59,3,4.77,5.48,-0.06,0,9/2/2024
Instant Porridge,43,6.23,52,197,4.35,5.09,0.25,1,9/2/2024
Biscuits,53,12.49,58,426,1.79,6.63,-1.01,1,9/2/2024
Water,54,8.89,56,355,2.82,6.35,-0.94,0,8/2/2024
Sauces and Soups,55,2.1,55,198,1.31,2.5,-0.94,0,8/2/2024
Instant Porridge,53,5.5,59,223,3.04,2.56,1.61,0,8/2/2024
Biscuits,51,6.22,51,353,1.11,7.61,-0.88,1,8/2/2024
Water,50,8.9,54,31,1.29,9.44,-0.05,0,7/2/2024
Sauces and Soups,44,19.27,52,190,1.13,9.64,-1.33,0,7/2/2024
Instant Porridge,47,1.64,48,148,1.42,5.25,-1.84,0,7/2/2024
Biscuits,48,16.49,48,89,4.67,6.93,-1.08,1,7/2/2024
Water,55,5.35,55,253,4.12,4.58,0.32,1,6/2/2024
Sauces and Soups,45,13,47,222,3.27,1.39,0.62,1,6/2/2024
Instant Porridge,52,12.44,55,377,1.07,5.32,0.45,1,6/2/2024
Biscuits,46,11.57,50,378,0.85,4.81,1.99,0,6/2/2024
Water,43,14.6,48,45,2.08,9.65,0.48,0,5/2/2024
Sauces and Soups,45,13.86,47,299,0.7,8.99,-0.98,1,5/2/2024
Instant Porridge,50,9.05,57,250,4.87,7.22,1.44,1,5/2/2024
Biscuits,42,3.76,50,482,4.05,7.4,-1.03,0,5/2/2024
Water,61,10.17,62,28,4.96,4.14,1.11,1,4/2/2024
Sauces and Soups,44,12.74,50,159,0.55,6.83,0.17,1,4/2/2024
Instant Porridge,58,1.96,59,161,3.47,3.89,1.74,1,4/2/2024
Biscuits,49,2.91,54,233,3.24,1.52,-1.54,1,4/2/2024
Water,56,6.94,56,345,1.57,5.07,0.01,0,3/2/2024
Sauces and Soups,56,11.22,63,426,1.85,4.11,-1.8,0,3/2/2024
Instant Porridge,35,7.4,40,440,1.71,4.14,-0.34,1,3/2/2024
Biscuits,64,15.35,73,240,2.2,6.14,-1.88,0,3/2/2024
Water,31,18.15,32,404,0.9,4.62,0.25,0,2/2/2024
Sauces and Soups,48,3.25,57,27,2.99,4.67,1.85,0,2/2/2024
Instant Porridge,48,1.4,56,206,2.37,5.58,1.74,0,2/2/2024
Biscuits,67,19.25,74,153,2.25,5.06,0,0,2/2/2024
Water,49,8.49,51,107,2.77,7.57,-0.54,0,1/2/2024
Sauces and Soups,51,12.45,60,294,4.51,5.35,-0.11,1,1/2/2024
Instant Porridge,58,12.4,61,265,3.2,1.46,1.16,1,1/2/2024
Biscuits,52,14.27,53,497,2.62,5.68,0.96,1,1/2/2024
Water,49,12.06,57,487,1.87,9.57,1.77,1,31/1/2024
Sauces and Soups,48,9.14,56,21,4.42,3.56,1.23,1,31/1/2024
Instant Porridge,50,19.19,56,430,3.6,8.19,0.96,0,31/1/2024
Biscuits,41,13.06,44,15,3.62,4.92,-1.28,1,31/1/2024
Water,54,4.33,63,295,4.9,9.22,1.97,0,30/1/2024
Sauces and Soups,45,18.2,54,342,2.33,6.2,1.25,0,30/1/2024
Instant Porridge,63,3.87,70,415,1.05,5.37,1.97,0,30/1/2024
Biscuits,55,12.7,57,343,2.85,1.43,0.4,0,30/1/2024
Water,38,15.45,46,435,0.64,4.94,0.72,1,29/1/2024
Sauces and Soups,51,12.15,52,290,2.14,6.29,0.28,0,29/1/2024
Instant Porridge,48,9.83,52,261,0.52,3.24,0.08,1,29/1/2024
Biscuits,38,2.77,39,169,0.8,2.76,-0.95,0,29/1/2024
Water,59,4.33,59,140,3.57,4.1,-0.77,1,28/1/2024
Sauces and Soups,55,16.88,61,330,3.58,9.17,-1.96,1,28/1/2024
Instant Porridge,53,9.5,62,10,4.23,2.23,-1.25,1,28/1/2024
Biscuits,53,19.39,58,442,1.79,3.56,0.75,1,28/1/2024
Water,50,2.44,52,462,2.62,5.03,0.98,1,27/1/2024
Sauces and Soups,38,9.86,46,400,4.16,3.67,-1.39,0,27/1/2024
Instant Porridge,47,9.95,49,269,4.12,9.34,-0.37,1,27/1/2024
Biscuits,52,7.46,56,313,3.04,4.11,-1.53,1,27/1/2024
Water,57,14.21,61,81,1.7,1.82,-0.67,0,26/1/2024
Sauces and Soups,53,14.34,56,393,4.91,5.04,0.21,0,26/1/2024
Instant Porridge,50,9.82,57,220,4.72,6.55,1.14,1,26/1/2024
Biscuits,49,19.75,55,13,0.93,8.65,-2,0,26/1/2024
Water,47,1.79,52,85,0.97,4.46,-0.77,0,25/1/2024
Sauces and Soups,55,4.98,62,486,3.78,2.27,1.03,1,25/1/2024
Instant Porridge,60,14.57,61,168,2.32,3.67,1.05,0,25/1/2024
Biscuits,53,14.44,59,197,3.08,8.9,0.09,0,25/1/2024
Water,45,5.53,46,59,0.7,4.61,1.24,0,24/1/2024
Sauces and Soups,50,2.03,57,77,1.87,9.05,-0.91,1,24/1/2024
Instant Porridge,66,9.28,71,467,3.61,2.19,-1.83,1,24/1/2024
Biscuits,46,8.52,49,218,1.61,3.86,1.24,0,24/1/2024
Water,43,8.41,51,80,3.48,5.61,-1.5,1,23/1/2024
Sauces and Soups,44,7.14,52,280,1.49,1.26,1.34,1,23/1/2024
Instant Porridge,42,17.16,44,182,0.75,3.58,-1.5,0,23/1/2024
Biscuits,62,3.71,71,2,0.77,6.07,0.28,1,23/1/2024
Water,55,3.37,60,31,4.57,1.91,0.4,0,22/1/2024
Sauces and Soups,72,15.86,79,222,4.01,5.44,0.22,1,22/1/2024
Instant Porridge,48,3.32,54,317,4.06,1.97,1.57,1,22/1/2024
Biscuits,44,17.54,45,46,0.77,4.59,0.29,1,22/1/2024
Water,52,6.71,60,286,1.12,3.52,1.56,1,21/1/2024
Sauces and Soups,39,12.74,43,232,0.68,2.6,-1,0,21/1/2024
Instant Porridge,47,18.09,52,288,4.09,4.58,-0.35,0,21/1/2024
Biscuits,45,16.93,50,339,1.26,9.09,-1.09,0,21/1/2024
Water,53,1.43,56,97,3.19,9.87,0.12,0,20/1/2024
Sauces and Soups,36,10.56,37,102,4.51,7.54,-1.12,1,20/1/2024
Instant Porridge,54,11.3,63,216,4.27,8.09,0.15,1,20/1/2024
Biscuits,51,13.12,59,316,1.07,4.24,-0.23,1,20/1/2024
Water,56,11.92,63,244,0.77,8.22,-0.62,1,19/1/2024
Sauces and Soups,51,10.46,57,475,0.68,2.41,0.16,0,19/1/2024
Instant Porridge,43,7.07,43,407,4.39,9.25,-0.66,1,19/1/2024
Biscuits,48,9.66,56,28,1.31,6.94,-0.14,0,19/1/2024
Water,33,12.39,39,474,2.62,4.2,-1.29,1,18/1/2024
Sauces and Soups,42,13.14,48,38,4.37,4.58,-0.17,1,18/1/2024
Instant Porridge,57,1.1,62,27,3.38,9.57,-1.37,1,18/1/2024
Biscuits,49,8.26,57,234,4.98,4.15,0.28,1,18/1/2024
Water,40,7.94,41,249,0.56,3.59,1.91,0,17/1/2024
Sauces and Soups,45,5.59,47,244,2.36,4.58,-0.12,0,17/1/2024
Instant Porridge,62,9.35,68,199,4.52,4.88,-1.06,1,17/1/2024
Biscuits,45,12.66,49,359,1.4,6.86,-1.55,0,17/1/2024
Water,48,18.62,50,0,4.17,8.38,-0.28,0,16/1/2024
Sauces and Soups,52,7.26,55,335,1.55,7.4,-0.63,1,16/1/2024
Instant Porridge,57,2.69,64,112,3.71,5.4,1.55,0,16/1/2024
Biscuits,45,1.77,46,8,2.23,9.18,-0.16,1,16/1/2024
Water,42,17.71,45,134,4.46,1.89,1.03,0,15/1/2024
Sauces and Soups,53,14.4,60,378,2.1,9.79,-0.5,1,15/1/2024
Instant Porridge,50,18.62,54,95,2.18,4.77,-0.43,1,15/1/2024
Biscuits,47,10.47,56,118,4.73,8.22,1,0,15/1/2024
Water,51,2.29,53,88,4.35,9.41,0.24,0,14/1/2024
Sauces and Soups,56,11.35,64,308,1.12,1.19,-0.71,1,14/1/2024
Instant Porridge,45,6.44,45,136,1.22,7.58,-1.17,0,14/1/2024
Biscuits,57,13.36,61,306,1.21,4.88,-1.76,1,14/1/2024
Water,46,3.39,47,55,1.18,5.37,-1.51,1,13/1/2024
Sauces and Soups,48,13.32,55,74,4.06,7.81,1.04,0,13/1/2024
Instant Porridge,55,13.84,61,373,1.28,3.03,1.35,1,13/1/2024
Biscuits,62,19.09,64,497,1.74,6.59,1.84,1,13/1/2024
Water,64,6.28,72,230,3.78,8.06,0.9,1,12/1/2024
Sauces and Soups,49,10.04,51,189,3.89,4.99,0.52,1,12/1/2024
Instant Porridge,53,2.86,53,354,1.67,7.19,1.79,0,12/1/2024
Biscuits,58,14.29,62,224,3.67,1.31,0.93,1,12/1/2024
Water,60,18.94,67,129,3.3,5.53,0.29,1,11/1/2024
Sauces and Soups,51,16.77,57,46,2,6.31,-0.3,0,11/1/2024
Instant Porridge,49,13.9,58,381,2.37,9.02,1.89,1,11/1/2024
Biscuits,49,17.78,50,162,3.15,9.59,-1.89,1,11/1/2024
Water,57,13.3,57,491,1.06,8.3,1.67,0,10/1/2024
Sauces and Soups,49,16.32,49,178,0.97,2.75,-0.54,1,10/1/2024
Instant Porridge,57,2.89,58,413,2.43,4.28,1.64,1,10/1/2024
Biscuits,57,3.88,64,152,1.49,9.27,0.98,1,10/1/2024
Water,48,6.17,53,90,1.75,2.84,-1.19,1,9/1/2024
Sauces and Soups,42,6.95,50,121,4.64,6.63,-1.41,1,9/1/2024
Instant Porridge,53,13.03,59,342,1.23,4.34,-1.26,1,9/1/2024
Biscuits,57,1.88,59,250,3.71,3.25,-0.32,1,9/1/2024
Water,44,7.98,45,477,2.68,7.4,0.5,0,8/1/2024
Sauces and Soups,49,8.15,51,261,3.43,4.91,-0.04,0,8/1/2024
Instant Porridge,43,18.53,45,401,2.33,5.71,-1.35,1,8/1/2024
Biscuits,52,9.72,56,291,3.95,4.33,1.04,1,8/1/2024
Water,50,4.46,52,122,4.27,4.94,0.31,1,7/1/2024
Sauces and Soups,43,1.4,51,147,3.1,8.34,-0.96,0,7/1/2024
Instant Porridge,47,9.57,54,14,4.6,5.18,-1.29,1,7/1/2024
Biscuits,40,19.84,44,245,3.21,1.51,0.74,1,7/1/2024
Water,46,2.33,55,140,1.9,2.26,1.27,0,6/1/2024
Sauces and Soups,45,16.66,50,172,4.76,5.66,-0.24,1,6/1/2024
Instant Porridge,56,14.84,60,273,3.81,6.02,-1.82,1,6/1/2024
Biscuits,43,4.89,44,218,1.94,7.4,0.34,1,6/1/2024
Water,47,9.34,52,176,1.43,3.68,-1.96,1,5/1/2024
Sauces and Soups,52,15.15,53,137,1.95,2.89,0.25,0,5/1/2024
Instant Porridge,44,3.48,47,143,3.83,2.78,-1.52,1,5/1/2024
Biscuits,50,13.66,51,498,2.29,4.48,1.65,1,5/1/2024
Water,65,19.43,66,209,2.81,2.28,1.51,1,4/1/2024
Sauces and Soups,47,1.11,52,279,2.98,3.25,-0.77,0,4/1/2024
Instant Porridge,46,1.95,50,71,2.71,7.64,-1.45,1,4/1/2024
Biscuits,44,2.78,47,108,3.66,9.23,1.63,1,4/1/2024
Water,48,6.67,56,335,2.97,3.58,0.8,0,3/1/2024
Sauces and Soups,45,17.06,49,159,4.42,8.53,0.25,0,3/1/2024
Instant Porridge,61,8.74,68,464,4.23,4.84,0.72,1,3/1/2024
Biscuits,55,15.12,60,186,3.81,1.08,1.72,0,3/1/2024
Water,55,12.89,62,140,3.24,6.26,1.33,0,2/1/2024
Sauces and Soups,63,15.98,66,465,4.51,2.16,0.46,0,2/1/2024
Instant Porridge,52,15.01,59,128,2.91,3.62,-1.51,0,2/1/2024
Biscuits,55,16.65,58,242,3.62,7.86,-0.09,1,2/1/2024
Water,38,4.11,46,124,2.84,4.26,-1.59,1,1/1/2024
Sauces and Soups,46,3.72,51,319,3.48,9.51,-1.29,0,1/1/2024
Instant Porridge,42,19,46,499,2.99,2.56,-1.74,1,1/1/2024
Biscuits,48,12.67,53,490,4.5,5.83,-1.79,0,1/1/2024
Water,45,15.1,49,428,3.9,7.71,0.58,0,31/12/2023
Sauces and Soups,39,12.23,46,226,0.83,3.97,0.7,1,31/12/2023
Instant Porridge,42,5.24,51,210,3.66,6.18,1.44,0,31/12/2023
Biscuits,64,3.18,64,304,2.88,4.98,-0.48,1,31/12/2023
Water,42,6.54,43,120,1.77,6.35,-1.06,0,30/12/2023
Sauces and Soups,30,4.27,37,378,3.29,2.22,-1.58,1,30/12/2023
Instant Porridge,41,4.88,45,499,2.47,4.78,0.78,1,30/12/2023
Biscuits,56,9,59,157,4.3,5.28,-1.73,1,30/12/2023
Water,55,11.88,58,347,0.76,1.52,0.19,1,29/12/2023
Sauces and Soups,53,10.25,54,248,4.48,8.47,-1.32,1,29/12/2023
Instant Porridge,47,8.76,55,219,3.02,9.6,1.89,1,29/12/2023
Biscuits,41,3.75,45,205,1.17,5.65,-1.11,0,29/12/2023
Water,43,8.3,43,437,4.94,9.16,-1.32,1,28/12/2023
Sauces and Soups,61,4.33,63,186,1.9,8.19,-0.03,0,28/12/2023
Instant Porridge,57,10.69,61,317,1.33,5.15,1.92,0,28/12/2023
Biscuits,45,5.05,47,402,2.13,6.07,-0.02,1,28/12/2023
Water,46,11.32,53,487,2.64,2.43,-0.12,0,27/12/2023
Sauces and Soups,58,12.41,67,61,1.37,6.23,0.77,0,27/12/2023
Instant Porridge,45,13.46,54,4,2.13,3.67,0.35,1,27/12/2023
Biscuits,57,17.52,62,277,2.88,9.54,1.12,0,27/12/2023
Water,51,14.51,53,311,0.95,6.33,0.79,1,26/12/2023
Sauces and Soups,57,1.74,66,121,2.07,5.54,-0.6,0,26/12/2023
Instant Porridge,49,19.99,58,344,2.88,8.86,-1.28,1,26/12/2023
Biscuits,53,7.22,61,443,1.97,1.24,-0.28,0,26/12/2023
Water,43,17.94,48,488,0.92,9.3,0.8,0,25/12/2023
Sauces and Soups,64,2.97,70,43,2.68,9.52,-1.14,0,25/12/2023
Instant Porridge,45,16.87,50,179,1.93,8.67,1.33,0,25/12/2023
Biscuits,60,1.5,64,200,4.66,3.4,0.26,1,25/12/2023
Water,48,18.88,49,0,3.45,7.15,-0.72,0,24/12/2023
Sauces and Soups,59,19.62,66,130,3.56,4.21,-0.61,0,24/12/2023
Instant Porridge,53,5.53,61,156,2.38,2.6,-0.75,0,24/12/2023
Biscuits,46,4.81,46,264,3.98,1.46,-1.94,1,24/12/2023
Water,61,18.63,67,216,4.63,4.31,1,0,23/12/2023
Sauces and Soups,49,5.36,53,488,3.05,1.97,-0.6,0,23/12/2023
Instant Porridge,60,13.92,65,309,2.09,1.95,1.23,1,23/12/2023
Biscuits,37,6.16,37,237,1.3,2.99,-1.09,1,23/12/2023
Water,39,8.33,45,357,1.77,9.44,1.66,1,22/12/2023
Sauces and Soups,50,15.04,51,360,3.31,6.36,1.64,0,22/12/2023
Instant Porridge,46,18.84,54,39,1.28,8.6,0.7,1,22/12/2023
Biscuits,33,3.49,42,296,1.43,9.13,-0.56,1,22/12/2023
Water,52,18.1,53,481,1.59,7.89,1.98,1,21/12/2023
Sauces and Soups,50,9.98,54,492,2.85,4,-1.34,1,21/12/2023
Instant Porridge,42,3.82,42,383,0.62,6.04,-0.88,1,21/12/2023
Biscuits,49,17.33,56,284,2.72,3.42,1.32,1,21/12/2023
Water,48,12.24,50,368,1.15,3.53,0.98,1,20/12/2023
Sauces and Soups,53,19.6,55,358,1.55,6.18,-1.54,0,20/12/2023
Instant Porridge,45,13.75,51,203,1.85,9.48,-1.17,1,20/12/2023
Biscuits,55,5.79,63,171,0.95,3.88,-1.96,1,20/12/2023
Water,49,17.58,54,75,2.38,3.98,-1.36,1,19/12/2023
Sauces and Soups,52,9.4,53,1,0.74,8.35,0.56,0,19/12/2023
Instant Porridge,45,12.55,48,447,2.13,2.98,-1.69,1,19/12/2023
Biscuits,49,18.57,53,216,0.56,9.74,1.85,1,19/12/2023
Water,48,19.92,52,398,3.45,3.56,1.27,1,18/12/2023
Sauces and Soups,59,10.85,65,422,1.5,2.25,0.74,1,18/12/2023
Instant Porridge,47,17.78,49,48,2.64,1.99,0.97,0,18/12/2023
Biscuits,49,17.77,58,49,3.01,8.47,-1.71,1,18/12/2023
Water,49,4.12,52,328,4.87,6.81,0.95,1,17/12/2023
Sauces and Soups,39,8.3,44,114,3.92,1.54,0.41,0,17/12/2023
Instant Porridge,52,17.85,57,136,3.46,6.31,0.96,1,17/12/2023
Biscuits,53,10.43,58,463,3.94,7.78,1.22,1,17/12/2023
Water,53,11.14,61,53,2.44,3.48,1.34,1,16/12/2023
Sauces and Soups,62,1.86,64,446,2.65,1.79,-0.84,1,16/12/2023
Instant Porridge,39,10.88,43,458,1.79,3.77,0.64,0,16/12/2023
Biscuits,47,19.5,47,463,3.58,3.69,0.49,0,16/12/2023
Water,63,11.41,68,158,3.02,9.49,0.91,0,15/12/2023
Sauces and Soups,53,7.72,61,466,2.46,1.3,1.01,0,15/12/2023
Instant Porridge,54,2.9,60,169,2.46,9.53,1.79,0,15/12/2023
Biscuits,48,12.94,56,267,2.98,2.18,0.68,0,15/12/2023
Water,42,5.16,46,312,4.58,1.59,-1.88,1,14/12/2023
Sauces and Soups,59,13.38,62,459,4.88,3.83,1.92,0,14/12/2023
Instant Porridge,53,2.05,60,462,0.94,4.22,-0.93,0,14/12/2023
Biscuits,43,9.46,52,29,2.84,3.38,-0.91,1,14/12/2023
Water,52,2.8,61,316,0.84,6.62,1.58,0,13/12/2023
Sauces and Soups,52,3.67,58,163,0.76,6.99,1.76,1,13/12/2023
Instant Porridge,56,15.31,65,212,3.65,8.11,-1.95,1,13/12/2023
Biscuits,45,10.9,49,442,3.88,7.71,-0.84,0,13/12/2023
Water,50,1.53,56,370,2.14,7.51,1.87,1,12/12/2023
Sauces and Soups,59,7.69,67,4,1.44,8.47,1.84,1,12/12/2023
Instant Porridge,53,17.85,55,222,2.49,7.9,1.81,0,12/12/2023
Biscuits,39,17.31,48,336,2.8,7.65,-0.27,0,12/12/2023
Water,43,11.18,43,384,2.34,2,-1.41,1,11/12/2023
Sauces and Soups,50,17.19,59,96,4.54,6.47,0.4,1,11/12/2023
Instant Porridge,57,19.39,58,329,0.78,2.17,-1.15,1,11/12/2023
Biscuits,34,5.98,38,153,4.84,7.5,0.17,0,11/12/2023
Water,51,6.33,60,359,4.72,5.38,0.81,0,10/12/2023
Sauces and Soups,54,8.51,57,187,3.25,7.9,0.67,1,10/12/2023
Instant Porridge,42,3.55,48,230,4.37,7.15,-2,1,10/12/2023
Biscuits,52,8.13,53,460,2.64,1.16,-0.23,1,10/12/2023
Water,43,14.1,45,261,1.83,5.48,1.29,0,9/12/2023
Sauces and Soups,49,9.78,53,60,3.12,9.87,-1.5,0,9/12/2023
Instant Porridge,58,13.73,63,386,2.46,7.38,-0.36,0,9/12/2023
Biscuits,41,9.99,47,444,2.17,4.72,-0.89,1,9/12/2023
Water,60,19.13,67,447,3.72,1.11,1.74,1,8/12/2023
Sauces and Soups,59,14.41,63,47,4.92,9.7,0.3,0,8/12/2023
Instant Porridge,57,5.79,63,292,1.87,1.42,-0.95,0,8/12/2023
Biscuits,49,15.05,57,46,3.26,7.1,1.13,0,8/12/2023
Water,39,1.81,40,267,1.99,3.16,-0.53,0,7/12/2023
Sauces and Soups,53,19.74,54,241,3.04,4.16,-0.02,0,7/12/2023
Instant Porridge,55,16.54,62,219,1.2,3.18,1.44,0,7/12/2023
Biscuits,57,6.78,65,449,4.4,5.72,1.54,0,7/12/2023
Water,56,10.99,58,240,2.78,2.9,0.32,0,6/12/2023
Sauces and Soups,56,5.28,61,400,3.79,3.03,0.17,0,6/12/2023
Instant Porridge,36,9.49,39,55,0.97,5.26,1.87,0,6/12/2023
Biscuits,45,4.05,53,112,4.4,6.22,1.93,1,6/12/2023
Water,49,10.1,49,218,4.45,9.46,-1.9,1,5/12/2023
Sauces and Soups,35,9.43,43,8,0.98,8.99,1.08,1,5/12/2023
Instant Porridge,58,11.43,64,42,4.87,9.87,0.16,0,5/12/2023
Biscuits,50,3.7,55,1,3.05,7.97,-1.88,0,5/12/2023
Water,48,5.79,52,268,2.52,3.96,1.03,1,4/12/2023
Sauces and Soups,49,9.9,58,344,1.63,9.61,-0.69,1,4/12/2023
Instant Porridge,46,7.24,46,151,1.59,9.05,-0.98,1,4/12/2023
Biscuits,58,17.96,64,39,3.16,4.7,0.31,1,4/12/2023
Water,46,8.52,48,291,4.18,5.22,1.82,1,3/12/2023
Sauces and Soups,49,1.83,50,2,2.17,5.09,-0.44,1,3/12/2023
Instant Porridge,50,5.51,53,432,3.87,1.99,-0.03,1,3/12/2023
Biscuits,47,10.74,48,364,1.6,9.86,-1.14,1,3/12/2023
Water,43,15.89,50,66,4.84,3.14,0.86,0,2/12/2023
Sauces and Soups,54,17.39,63,421,2.5,6.3,1.33,0,2/12/2023
Instant Porridge,53,11.7,60,79,2.99,1.21,0.63,1,2/12/2023
Biscuits,41,6.7,42,432,0.62,8.33,-0.87,1,2/12/2023
Water,45,18.97,49,48,4.77,6.99,-1.87,1,1/12/2023
Sauces and Soups,45,12.66,54,220,0.71,3.38,-1.35,1,1/12/2023
Instant Porridge,54,15.43,61,499,4.85,8.69,1.48,1,1/12/2023
Biscuits,60,10.26,67,345,1.23,5.32,0.31,0,1/12/2023
Water,55,2.09,63,140,2.14,6.19,-1.68,1,30/11/2023
Sauces and Soups,60,5.82,67,116,2.04,1.27,0.72,1,30/11/2023
Instant Porridge,43,10.03,44,176,0.58,3.26,1.92,0,30/11/2023
Biscuits,58,18.91,63,402,3.51,2.97,0.09,1,30/11/2023
Water,48,13.49,57,151,1.51,3.97,-0.19,1,29/11/2023
Sauces and Soups,61,1.21,61,303,2.29,1.42,0.22,0,29/11/2023
Instant Porridge,42,8.75,43,141,1.64,2.36,-1.53,0,29/11/2023
Biscuits,35,15.36,41,426,3.16,4.93,0.95,1,29/11/2023
Water,39,12.01,43,318,4.52,3.72,0.34,0,28/11/2023
Sauces and Soups,57,12.74,66,185,0.65,6.88,-0.4,0,28/11/2023
Instant Porridge,45,2.65,50,201,4.65,7.69,-1.98,1,28/11/2023
Biscuits,47,18.51,54,275,1.03,1.41,-1.89,1,28/11/2023
Water,44,6.93,45,332,4.33,2.37,-1.28,0,27/11/2023
Sauces and Soups,59,9.64,66,98,0.95,8.74,1.4,1,27/11/2023
Instant Porridge,43,8.93,50,228,0.75,1.63,-0.77,1,27/11/2023
Biscuits,48,9.47,50,467,3.14,5.53,-0.28,1,27/11/2023
Water,54,18.8,62,207,2.5,9.27,-0.66,0,26/11/2023
Sauces and Soups,47,13.4,48,84,1.43,4.19,-0.87,0,26/11/2023
Instant Porridge,47,6.89,56,450,3.41,3.39,-1.74,0,26/11/2023
Biscuits,28,16.76,30,437,2.78,4.48,-0.6,1,26/11/2023
Water,50,18.07,54,119,2.24,4.12,-0.95,1,25/11/2023
Sauces and Soups,48,2.23,53,136,2.11,6.41,-0.27,0,25/11/2023
Instant Porridge,45,13.32,46,154,2.99,4.32,-1.54,0,25/11/2023
Biscuits,50,16.07,54,157,3.84,2.21,-0.28,1,25/11/2023
Water,46,8.83,53,179,4.76,3.88,1,1,24/11/2023
Sauces and Soups,55,10.94,62,117,4.9,9.31,-1.59,0,24/11/2023
Instant Porridge,57,15.83,59,68,2.29,1.92,1.43,1,24/11/2023
Biscuits,46,16.47,51,92,1.35,9.22,0.34,0,24/11/2023
Water,62,10.51,69,144,3.15,9.89,-0.46,1,23/11/2023
Sauces and Soups,56,10.43,65,380,4.62,5.33,-0.63,0,23/11/2023
Instant Porridge,50,11.15,51,324,1.97,3.1,-0.16,1,23/11/2023
